id,name,price,original_price,discount,discount_rate,rating_average,review_count,short_description,all_time_quantity_sold,authors,categories,publisher_vn,book_cover,number_of_page,manufacturer
248362147,Black Jack 18 (Bìa Mềm),28000,30000,2000,7,5.0,32,"Câu chuyện xoay quanh việc chữa bệnh cứu người và những vấn đề y khoa, trong đó nhân vật chính là Black Jack, một bác sĩ tài giỏi nhưng “quái dị”. Điểm đặc biệt của anh chính là một vết sẹo dài trên k...",399,['Osamu Tezuka'],"Truyện Tranh, Manga, Comic",NXB Trẻ,Bìa mềm,256,NXB Trẻ
259542486,Black Jack 20 ( Bìa cứng),120000,135000,15000,11,3.8,4,"Câu chuyện xoay quanh việc chữa bệnh cứu người và những vấn đề y khoa, trong đó nhân vật chính là Black Jack, một bác sĩ tài giỏi nhưng “quái dị”. Điểm đặc biệt của anh chính là một vết sẹo dài trên k...",93,['Osamu Tezuka'],"Truyện Tranh, Manga, Comic",NXB Trẻ,Bìa mềm,224,NXB Trẻ
252044263,Chú Thuật Hồi Chiến Tập 12: Biến Cố Shibuya - Giáng Linh [Tặng Kèm Obi Và Thẻ Bo Góc Nhựa],27100,30000,2900,10,5.0,21,Biến cố Shibuya càng trở nên hỗn loạn khi Zen'in Toji bất ngờ được triệu hồi! Lúc này Meimei đang trên đường tới sân ga để tiếp cận Geto. Chứng kiến cảnh tượng các trợ lí giám sát bị thương nặng khiến...,226,['Gege Akutami'],"Truyện Tranh, Manga, Comic",NXB Kim Đồng,Bìa mềm,192,Nhà Xuất Bản Kim Đồng
262477164,Ninja Rantaro Tập 8,40000,40000,0,0,5.0,6,"“Hội thao đã kết thúc nhưng chắc bác phải chơi môn thể thao nào đó thôi. Bác Soubee của các cháu muốn trở thành một vận động viên đa tài. Hôm qua bác luyện được Ninja thuật, hôm nay sang kiếm đạo, mai...",60,['Soubee Amako'],"Truyện Tranh, Manga, Comic",NXB Kim Đồng,Bìa mềm,236,Nhà Xuất Bản Kim Đồng
257861637,Ninja Rantaro Tập 7,39000,40000,1000,3,5.0,6,"“Trời thu trong xanh tuyệt đẹp, khiến Shinbe buồn đi nặng (Chế từ câu thơ: Trời thu trong xanh tuyệt đẹp, khiến ngựa buồn đi nặng). Bà cấp dưỡng trong trường Ninja luôn ép bọn học trò phải ăn hết suất...",99,['Soubee Amako'],"Truyện Tranh, Manga, Comic",Kim Đồng,Bìa mềm,240,Nhà Xuất Bản Kim Đồng
242424349,Chainsaw Man - Tập 8,33700,45000,11300,25,5.0,23,"Câu chuyện của Chainsaw Man mô tả một thế giới nơi ma quỷ và con người cùng tồn tại trên Trái đất, và trong đó con người có thể lập hiệp ước để đạt được sức mạnh của quỷ. Nhân vật chính là Denji, để ...",342,['Tatsuki Fujimoto'],"Truyện Tranh, Manga, Comic",NXB Trẻ,Bìa mềm,192,NXB Trẻ
254085707,Shaman King 32,32000,35000,3000,9,5.0,6,"Asakura Yo vốn là con nhà nòi, sinh ra trong một gia đình hành nghề shaman - pháp sư. Như bất kỳ shaman nào khác, mục tiêu cuối cùng của cậu chính là ngôi vị Shaman king, người duy nhất có mối liên kế...",113,['Hiroyuki Takei'],"Truyện Tranh, Manga, Comic",NXB Trẻ,Bìa mềm,204,NXB Trẻ
254085705,Fire Force 5,40800,43000,2200,5,5.0,9,"Truyện lấy bối cảnh thế giới khi con người đối mặt với hiện tượng “nhân thể bộc hỏa”, tức con người tự bốc cháy. Câu chuyện nói về những con người có năng lực và quyết tâm kết hợp với nhau...",81,['Atsushi Ohkubo'],"Truyện Tranh, Manga, Comic",NXB Trẻ,Bìa mềm,192,NXB Trẻ
252648896,Black Jack 19 (Bìa Cứng),128000,135000,7000,5,5.0,7,"Câu chuyện xoay quanh việc chữa bệnh cứu người và những vấn đề y khoa, trong đó nhân vật chính là Black Jack, một bác sĩ tài giỏi nhưng “quái dị”. Điểm đặc biệt của anh chính là một vết sẹo dài trên k...",152,['Osamu Tezuka'],"Truyện Tranh, Manga, Comic",NXB Trẻ,Bìa cứng,224,NXB Trẻ
248176720,Chú Thuật Hồi Chiến Tập 11: Biến Cố Shibuya - Khai Môn [Tặng Kèm Obi Và Thẻ Bo Góc Nhựa],28400,30000,1600,5,5.0,60,"Khắp sân ga dưới tầng hầm Shibuya, đâu đâu cũng là dân thường và người bị biến dạng. Bất chấp thảm cảnh không lối thoát, Gojo vẫn áp đảo đám chú linh. Song phe địch lại tung ra đòn quyết định thắng bạ...",666,['Gege Akutami'],"Truyện Tranh, Manga, Comic",NXB Kim Đồng,Bìa mềm,192,Nhà Xuất Bản Kim Đồng
